id;name;location;date
1;Chair Oklahoma navigating;grid-enabled secondary service-desk;2020-12-12
2;Rubber interface Netherlands;Integrated Investment Account models;2020-12-12
3;Specialist Clothing generating;withdrawal;2020-12-12
4;Australia;XML Berkshire hard drive;2020-12-12
5;Officer Analyst ubiquitous;bypass software granular;2020-12-13
6;e-business;auxiliary Bedfordshire;2020-12-12
7;technologies Sleek Wooden Pants;dynamic Music throughput;2020-12-12
8;South Carolina panel;Facilitator invoice;2020-12-12
9;Cambridgeshire mobile;hub;2020-12-12
10;Hat Buckinghamshire;portal intuitive Applications;2020-12-13
